Date,Price
2026-06-20,13390.0
2026-06-21,13390.0
2026-06-22,13565.0
2026-06-23,13255.0
2026-06-24,13100.0
2026-06-25,12955.0
2026-06-26,13085.0
2026-06-27,13195.0
2026-06-28,13195.0
2026-06-29,13110.0
2026-06-30,13020.0
2026-07-01,12905.0
